SYMBOL,SECURITY,WEIGHTAGE(%)
HDFCBANK, HDFC BANK LTD., 12.84
RELIANCE, RELIANCE INDUSTRIES LTD., 8.74
ICICIBANK, ICICI BANK LTD., 8.32
INFY, INFOSYS LTD., 4.88
BHARTIARTL, BHARTI AIRTEL LTD., 4.81
LT, LARSEN & TOUBRO LTD., 3.97
SBIN, STATE BANK OF INDIA, 3.38
ITC, ITC LTD., 3.27
AXISBANK, AXIS BANK LTD., 3.08
TCS, TATA CONSULTANCY SERVICES LTD., 2.77
